file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_NW0029_0001_16725_to_26094,བོད་རྒྱལ་ལོ་ཉིས་སྟོང་བརྒྱ་དང་བཞི་ཅུ་ཞེ་གསུམ་རབ་གནས་མེ་སྤྲེའུ་ལོའི་བོད་ཟླ་བཅུ་བ། སྨིན་དྲུག་ཟླ་བའི་གནམ་གང་དང་། ཕྱི་ལོ་གཉིས་སྟོང་བཅུ་དྲུག་ལོའི་ཟླ་བ་བཅུ་གཉིས་པའི་ཚེས་པ་ཉི་ཤུ་རྩ་བརྒྱད་གཟའ་ལྷག་པའི་ལས་རིམ་ནང་དུ།  ,bod rgyal lo nyis stong brgya dang bzhi cu zhe gsum rab gnas me spre'u lo'i bod zla bcu ba/_smin drug zla ba'i gnam gang dang /_phyi lo gnyis stong bcu drug lo'i zla ba bcu gnyis pa'i tshes pa nyi shu rtsa brgyad gza' lhag pa'i las rim nang du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0029_0001_16725_to_26094.wav,STT_NW,2,206,9.369,wav16k/STT_NW0029_0001_16725_to_26094.wav,བོད་རྒྱལ་ལོ་ཉིས་སྟོང་བརྒྱ་དང་བཞི་བཅུ་ཞེ་གསུམ་རབ་གནས་མེ་གྲེལ་ལོའི་བོད་ཟླ་བཅུ་པ་སྨིན་དྲུག་ཟླ་བའི་གནམ་གང་དང་ཕྱི་ལོ་ཉིས་སྟོང་བཅུ་དྲུག་ལོའི་ཟླ་བ་བཅུ་གཉིས་པའི་ཚེས་པ་ཉི་ཤུ་རྩ་བརྒྱད་གཟའ་ལྷག་པའི་ལས་རིམ་གནང་འདུག་
STT_NW0029_0002_26094_to_29487,ཉེ་ཆར་གློད་གྲོལ་བྱུང་བའི་ཆབ་སྲིད་བཙོན་ཟུར་འཇིགས་མེད་རྒྱ་མཚོ་ལགས།  ,nye char glod grol byung ba'i chab srid btson zur 'jigs med rgya mtsho lags/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0029_0002_26094_to_29487.wav,STT_NW,2,66,3.393,wav16k/STT_NW0029_0002_26094_to_29487.wav,ཉེ་ཆར་གློད་གྲོལ་བྱུང་བའི་ཆབ་སྲིད་བཙོན་ཟུར་འཇིགས་མེད་རྒྱ་མཚོ་ལགས།
STT_NW0029_0003_29487_to_36889,ནད་གཞི་སྣ་མང་ཕོག་པའི་ཁར་ལ་རྒྱ་ནག་གཞུང་ནས་ཁོང་ལ་མུ་མཐུད་ལྟ་སྲུང་གི་སྨན་བཅོས་སོགས་ཀི་ཐོབ་ཐང་མེད་པའི་དཀའ་ངལ་འཕྲད་བཞིན་པའི་གནས་ཚུལ་ཞིག་ཐོན་འདུག།  ,nad gzhi sna mang phog pa'i khar la rgya nag gzhung nas khong la mu mthud lta srung gi sman bcos sogs ki thob thang med pa'i dka' ngal 'phrad bzhin pa'i gnas tshul zhig thon 'dug/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0029_0003_29487_to_36889.wav,STT_NW,2,142,7.402,wav16k/STT_NW0029_0003_29487_to_36889.wav,ནད་གཞི་རྣ་མང་ཕོག་པའི་ཁར་ལ་རྒྱ་ནག་གཞུང་ནས་ཁོང་ལ་མུ་མཐུད་ལྟ་བཟུང་གི་སྨན་བཅོས་སོགས་ཀི་ཐོབ་ཐང་མེད་པའི་དཀའ་ངལ་འཕྲད་བཞིན་པའི་གནས་ཚུལ་ཞིག་ཐོན་འདུག
STT_MV0483_0012_182054_to_187025,མ་གྷ་དྷའི་རྒྱལ་པོས་དེ་འདྲས་ཁྱོན་ནས་གནང་སྲིད་ཀི་མ་རེད། ང་ཚོའི་དགྲ་བོ་དང་།  ,ma g+ha d+ha'i rgyal pos de 'dras khyon nas gnang srid ki ma red/_nga tsho'i dgra bo dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_MV0483_0012_182054_to_187025.wav,STT_MV,2,74,4.971,wav16k/STT_MV0483_0012_182054_to_187025.wav,མ་གྷ་ལྷའི་རྒྱལ་པོས་འདེ་འདྲས་ཁྱོན་ནས་གནང་སྲིད་ཀི་མ་རེད། ང་ཚོའི་དགྲ་བོ་དང་།
STT_NW0029_0004_36889_to_46581,ད་ག་ནང་བཞིན་བོད་མདོ་སྨད་ཀན་སུའུ་ཞིང་ཆེན་ཀན་ལྷོ་ཁུལ་རྔོག་རྒྱལ་མོ་དགོན་གྱི་དགེ་འདུན་པ་ཞིག་ཀྱང་རྒྱ་ནག་གཞུང་གི་ཉེས་རྟོག་མི་སྣས་གློ་བུར་ཏུ་འཛིན་བཟུང་བཙན་ཁྲིད་བྱས་པའི་གནས་ཚུལ་ཞིག་ཀྱང་ཐོན་ཤག།  ,da ga nang bzhin bod mdo smad kan su'u zhing chen kan lho khul rngog rgyal mo dgon gyi dge 'dun pa zhig kyang rgya nag gzhung gi nyes rtog mi snas glo bur tu 'dzin bzung btsan khrid byas pa'i gnas tshul zhig kyang thon shag/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0029_0004_36889_to_46581.wav,STT_NW,2,186,9.692,wav16k/STT_NW0029_0004_36889_to_46581.wav,ད་ག་ནང་བཞིན་བོད་སདོན་སྨད་ཀན་ཟུ་ཞིང་ཆེན་ཀན་ལོ་ཁུལ་སྔོག་རྒྱལ་མོ་མགོན་གི་དགེ་འདུན་པ་ཞིག་ཀྱང་རྒྱ་ནག་གཞུང་གི་ཉེན་རྟོག་མི་སྣས་གློ་བུར་དུ་འཛིན་བཟུང་བཙན་ཁྲིད་བྱས་པའི་གནས་ཚུལ་ཞིག་ཀྱང་ཐོན་ཤག
STT_NW0029_0005_46581_to_53706,བཙན་བྱོལ་བོད་མིའི་གཏན་ཉིན་སློབ་གྲྭ་ཁག་གི་སློབ་ཕྲུག་ཚོ་ལ་འགོ་ཁྲིད་ནུས་པ་སྐྱེད་སྲིང་གནང་ཕྱོགས་དང་འབྲེལ་བའི་ཟབ་སྦྱོང་ཐེངས་བཞི་བ་དེ་མཇུལ་བསྒྲིལ་འདུག།  ,btsan byol bod mi'i gtan nyin slob grwa khag gi slob phrug tsho la 'go khrid nus pa skyed sring gnang phyogs dang 'brel ba'i zab sbyong thengs bzhi ba de mjul bsgril 'dug/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0029_0005_46581_to_53706.wav,STT_NW,2,147,7.125,wav16k/STT_NW0029_0005_46581_to_53706.wav,བཙན་བྱོལ་བོད་མིའི་འདི་ཉིན་སློབ་གྲྭ་ཁག་གི་སློབ་ཕྲུག་ཚོ་ལ་འགོ་ཁྲིད་ནུས་པ་སྐྱེད་སྲིང་གནང་ཕྱོགས་དང་འབྲེལ་བའི་ཟབ་སྦྱོང་ཐེངས་བཞི་པ་དེ་མཇུག་སྒྲིལ་འདུག
STT_NW0029_0006_53706_to_61076,ད་ག་ནང་བཞིན་ནང་ཆོས་ངོ་སྤྲོད་ཀི་ལས་རིམ་ནང་དུ་བདག་ཡོད་པར་ལྟ་བའི་ལྟ་བ་ཞེས་བའི་གོ་དོན་གང་ཡིན་ངོ་སྤྲོད་གནང་བ་ཞིག་གཟིགས་འབུལ་ཞུ་རྒྱུ་ཡོད་པས།  ,da ga nang bzhin nang chos ngo sprod ki las rim nang du bdag yod par lta ba'i lta ba zhes ba'i go don gang yin ngo sprod gnang ba zhig gzigs 'bul zhu rgyu yod pas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0029_0006_53706_to_61076.wav,STT_NW,2,136,7.37,wav16k/STT_NW0029_0006_53706_to_61076.wav,ད་ག་ནང་བཞིན་ནང་ཆོས་ངོ་སྤྲོད་ཀི་ལས་རིམ་ནང་དུ་བདག་ཡོད་པར་ལྟ་བའི་ལྟ་བ་ཞེས་པའི་གོ་དོན་གང་ཡིན་ངོ་སྤྲོད་གནང་བ་ཞིག་གཟིགས་འབུལ་ཞུ་རྒྱུ་ཡོད་པས།
STT_NW0029_0007_61076_to_62231,གསར་འགྱུར་ལས་རིམ་མུ་མཐུད་ནས་ ,gsar 'gyur las rim mu mthud nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0029_0007_61076_to_62231.wav,STT_NW,2,29,1.155,wav16k/STT_NW0029_0007_61076_to_62231.wav,གསར་འགྱུར་ལས་རིམ་མུ་མཐུད་ནསས།་
STT_NW0029_0008_62231_to_71325,གཟིགས་རོགས་གནང་། ལོ་ལྔའི་བཙོན་འཇུག་དུས་ཡུན་རྫོགས་ནས་ཉེ་ལམ་གློད་གྲོལ་བྱུང་བའི་གྲགས་ཙན་ཆབ་སྲིད་བཙོན་ཟུར་འཇིགས་མེད་རྒྱ་མཚོ་འམ།  ,gzigs rogs gnang /_lo lnga'i btson 'jug dus yun rdzogs nas nye lam glod grol byung ba'i grags tsan chab srid btson zur 'jigs med rgya mtsho 'am/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0029_0008_62231_to_71325.wav,STT_NW,2,125,9.094,wav16k/STT_NW0029_0008_62231_to_71325.wav,གཟིགས་རོགས་གནང་། ལོ་ལྔའི་བཙོན་འཇུག་དུས་ཡུན་རྫོགས་ནས་ཉེ་ལམ་བློད་གྲོལ་བྱུང་བའི་གྲངས་ཞེན་ཆབ་སྲིད་བཙོན་ཟུ་འཇིགས་མེད་རྒྱ་མཚོའམ་
STT_NW0029_0009_71325_to_79844,ཡོངས་གྲགས་སུ་འཇིགས་མེད་མགོ་རིལ་ལགས་ལ་ད་ཞག་ནད་གཞི་སྣ་མང་ཞིག་ཕོགས་ནས། ཀན་སུའུ་ཁུལ་གི་ཀན་ལྷོ་བོད་རིགས་རང་སྐྱོང་ཁུལ་སང་ཆུ་རྫོང་གི་སྨན་ཁང་ཞིག་ཏུ་ཡོད་པ་རེད་འདུག།  ,yongs grags su 'jigs med mgo ril lags la da zhag nad gzhi sna mang zhig phogs nas/_kan su'u khul gi kan lho bod rigs rang skyong khul sang chu rdzong gi sman khang zhig tu yod pa red 'dug/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NW0029_0009_71325_to_79844.wav,STT_NW,2,157,8.519,wav16k/STT_NW0029_0009_71325_to_79844.wav,ཡོངས་གྲགས་སུ་འཇིགས་མེད་འགོ་རིས་ལགས་ལ་ད་ཆ་ནད་གཞི་སྣ་མ་ཞིག་ཕོག་ནས་ཀན་སུ་ཁུལ་ཀན་ལྷོ་བོད་རིགས་རང་སྐྱོང་ཁུལ་གསང་ཆུ་རྫོང་གི་སྨན་ཁང་ཞིག་ཏུ་ཡོད་པ་རེད་འདུག
